1st population
____________________X____________________  ____________________Y____________________
|VALUE: -2.702 GENE: 00000110101101011110 |VALUE: -3.900 GENE: 00000100010001011100 |RESULT: 11.301
|VALUE: 1.522  GENE: 00001111010011011000 |VALUE: -0.873 GENE: 00001010011011101000 |RESULT: 1.952 
|VALUE: 1.146  GENE: 00001110100010100000 |VALUE: -4.915 GENE: 00000010001101010011 |RESULT: 3.624 
|VALUE: 2.436  GENE: 00010001001010100000 |VALUE: -3.461 GENE: 00000101001010101010 |RESULT: 11.596
|VALUE: -3.320 GENE: 00000101011100111111 |VALUE: 5.232  GENE: 00010110110110100010 |RESULT: 9.665 
|VALUE: 0.823  GENE: 00001101111000011010 |VALUE: -2.888 GENE: 00000110010101001010 |RESULT: 5.211 
|VALUE: -4.716 GENE: 00000010100111010000 |VALUE: -3.332 GENE: 00000101011011010110 |RESULT: 7.809 
|VALUE: -4.450 GENE: 00000011001001110111 |VALUE: -0.564 GENE: 00001011000011110101 |RESULT: 1.985 
|VALUE: -0.052 GENE: 00001100000110011011 |VALUE: -0.836 GENE: 00001010100000010110 |RESULT: -2.086
|VALUE: 1.283  GENE: 00001110110100010000 |VALUE: 4.109  GENE: 00010100100100010100 |RESULT: 8.209 
|VALUE: 2.711  GENE: 00010001101110010010 |VALUE: -2.979 GENE: 00000110001001010101 |RESULT: 11.894
|VALUE: -0.644 GENE: 00001010111001011011 |VALUE: -5.084 GENE: 00000001110111010101 |RESULT: 1.267 
|VALUE: -1.098 GENE: 00001001111110001110 |VALUE: -4.697 GENE: 00000010101001101011 |RESULT: 3.996 
|VALUE: 2.675  GENE: 00010001101001100010 |VALUE: 1.879  GENE: 00010000000001111001 |RESULT: 9.695 
|VALUE: 0.815  GENE: 00001101110111010111 |VALUE: 2.061  GENE: 00010000011001100011 |RESULT: 3.869 
|VALUE: 5.607  GENE: 00010111100111010010 |VALUE: 5.539  GENE: 00010111011110100001 |RESULT: 2.471 
|VALUE: 1.389  GENE: 00001111000010001001 |VALUE: -5.204 GENE: 00000001100111101001 |RESULT: 3.491 
|VALUE: 3.023  GENE: 00010010010110111000 |VALUE: -1.535 GENE: 00001001000101011000 |RESULT: 8.215 
|VALUE: 4.478  GENE: 00010101010100010001 |VALUE: -1.514 GENE: 00001001001000001010 |RESULT: 5.248 
|VALUE: 0.845  GENE: 00001101111011010010 |VALUE: -3.927 GENE: 00000100001101111011 |RESULT: 5.340 
|VALUE: 2.711  GENE: 00010001101110010001 |VALUE: -0.553 GENE: 00001011000101010010 |RESULT: 5.281 
